term,Topic,Freq,Term
1082,4,0.031308742980281135,inicio
1082,5,0.10958060043098397,inicio
1082,6,0.07827185745070284,inicio
1082,7,0.10958060043098397,inicio
25,1,0.12044634647152644,instituto
25,2,0.06022317323576322,instituto
25,3,0.24089269294305288,instituto
25,4,0.1003719553929387,instituto
25,5,0.08029756431435096,instituto
25,6,0.12044634647152644,instituto
25,7,0.2609670840216406,instituto
2041,2,0.08645392018118236,intensidad
2041,4,0.6051774412682766,intensidad
2041,5,0.17290784036236473,intensidad
2041,6,0.17290784036236473,intensidad
619,1,0.2140190455484139,interesante
619,5,0.6420571366452417,interesante
1116,1,0.11703356236593995,internacionales
1116,2,0.11703356236593995,internacionales
1116,3,0.4096174682807898,internacionales
1116,4,0.058516781182969976,internacionales
1116,5,0.11703356236593995,internacionales
1116,6,0.058516781182969976,internacionales
1116,7,0.11703356236593995,internacionales
9762,2,0.1573201590040744,invade
9762,3,0.6292806360162976,invade
9762,4,0.1573201590040744,invade
241,1,0.110084480980754,involcan
241,2,0.125810835406576,involcan
241,3,0.125810835406576,involcan
241,4,0.110084480980754,involcan
241,5,0.204442607535686,involcan
241,6,0.125810835406576,involcan
241,7,0.204442607535686,involcan
687,3,0.6937241625204945,ira
687,7,0.13874483250409891,ira
9019,2,0.1574323707888317,iruene
9019,3,0.6297294831553268,iruene
9019,7,0.1574323707888317,iruene
