,Term,Freq,Total,Category,logprob,loglift
4844,are,3.9794599378313023,4.6623959275651865,Topic3,-7.4715,1.7551
4431,egb,3.9782364148877094,4.661289636613014,Topic3,-7.4718,1.755
4848,there,3.977851367414443,4.661020491068007,Topic3,-7.4719,1.755
4843,active,3.976675059594422,4.659864520894752,Topic3,-7.4722,1.7549
4433,modificaran,3.975813383589237,4.659125741061114,Topic3,-7.4724,1.7549
4432,estudiaron,3.974887804356459,4.658360703415173,Topic3,-7.4726,1.7548
9798,cien,4.635387494486767,5.439417635245365,Topic3,-7.3189,1.7535
3371,pesca,3.2040134012577894,3.8868828958537227,Topic3,-7.6882,1.7203
4515,viscosas,3.2034447846402916,3.88669972701992,Topic3,-7.6884,1.7202
3125,derrumbarse,3.1986465477073094,3.8851856865775765,Topic3,-7.6899,1.719
159,efeservicios,9.382605637261001,11.653152918165414,Topic3,-6.6138,1.6968
6676,aceleracion,2.430539113660717,3.11323605752218,Topic3,-7.9645,1.6659
11668,convivir,2.4303313264143083,3.1130197550060035,Topic3,-7.9646,1.6659
10420,obligando,2.4300091646013167,3.1128458755018795,Topic3,-7.9647,1.6658
10419,desplazarse,2.4289653440461456,3.1118444719389933,Topic3,-7.9652,1.6657
7365,signo,2.4303020204755397,3.113565550386756,Topic3,-7.9646,1.6657
2240,quemar,2.4298433011284244,3.1133843214942725,Topic3,-7.9648,1.6656
7306,crece,2.4284358020136723,3.113691246291486,Topic3,-7.9654,1.6649
4434,podamos,4.753219347790979,6.237594766470362,Topic3,-7.2938,1.6417
5746,detalle,12.48211731708506,17.052742440662428,Topic3,-6.3283,1.6015
305,unidades,3.9786304169533775,5.451485401358203,Topic3,-7.4717,1.5985
5569,control,12.875979365490002,17.852090279692497,Topic3,-6.2973,1.5867
4849,vents,5.025806502113316,7.005004691115029,Topic3,-7.238,1.5814
5028,minuto,6.136875639192908,8.570843448361623,Topic3,-7.0383,1.5794
9912,termografica,13.250996881212822,18.586167553952592,Topic3,-6.2685,1.5751
5143,cambiando,4.45833322325416,6.282716031103458,Topic3,-7.3578,1.5705
8279,poblaciones,3.8516473772417146,5.433844764111513,Topic3,-7.5041,1.5693
5434,cumple,45.836002374401446,73.5930117684977,Topic3,-5.0275,1.44
4934,emanaciones,17.581419043360977,28.011600625774047,Topic3,-5.9858,1.4477
6982,ntoda,9.3874525139118,14.272826509361577,Topic3,-6.6132,1.4945
4935,llegaron,17.125107667547663,28.053203671733236,Topic3,-6.0121,1.4199
160,endirecto,10.154561510905621,16.41277827111829,Topic3,-6.5347,1.4333
5230,marina,5.778961394957038,8.52813465366511,Topic3,-7.0984,1.5243
2628,expertos,23.52325348437507,48.06718290587316,Topic3,-5.6946,1.1989
189,camara,14.79953978088137,28.629023022791447,Topic3,-6.158,1.2537
893,sanchez,25.80824404260069,59.604987749024396,Topic3,-5.6019,1.0764
248,volcanica,38.971131804851595,102.6679605918935,Topic3,-5.1898,0.9448
631,naturaleza,16.028567356639577,34.85285145525499,Topic3,-6.0782,1.1367
2022,caribe,19.48086229925342,46.75074551433699,Topic3,-5.8832,1.0381
415,zonas,8.668570509431134,15.631829218151493,Topic3,-6.6929,1.3239
